,"b""Date",Marketplace,MSKU,FNSKU,Asin,Product Name,Condition,Fulfilled By,Total Quantity (Sellable),Estimated Excess,Days Of Supply,Excess Threshold,Units Sold - Last 7 Days,Units Sold - Last 30 Days,Units Sold - Last 60 Days,Units Sold - Last 90 Days,Alert,Your Price,Lowest Price (Includes Shipping),Buybox Price,Recommended action,Healthy Inventory Level,Recommended sales price,Recommended sale duration (days),Estimated total storage cost,Recommended Removal Quantity,Estimated cost savings of removal
0,2020-08-11,amazon.co.uk,IUFFO00507BL36 AMZ,X000OXS873,B00L5CNFQI,"Izas Men Frosty Outdoor Sandals - Blue, One Size",New,Amazon,3,3,999,,0,0,0,0,Low Traffic,GBP 27.17,GBP 24.54,GBP 24.54,Edit listing,0,27.17,0,108.93313271555,0,0.0
1,2020-08-11,amazon.de,IUFFO00507BL36 AMZ,X000OXS873,B00L5CNFQI,"IZAS Unisex-Erwachsene Frosty Outdoorsandale, blau, 36 EU",New,Amazon,3,3,999,,0,0,0,0,Low Traffic,EUR 29.99,EUR 25.61,EUR 25.61,Improve recommendations,0,29.99,0,120.620005,0,0.0
2,2020-08-11,amazon.fr,IUFFO00507BL36 AMZ,X000OXS873,B00L5CNFQI,IZAS IUFFO00507BL36 Sandale de Sport Bleu Taille : 36,New,Amazon,3,3,999,,0,0,0,0,Low Traffic,EUR 32.99,EUR 25.28,EUR 25.28,Edit listing,0,29.99,0,120.620005,0,0.0
3,2020-08-11,amazon.es,IUFFO00507BL36 AMZ,X000OXS873,B00L5CNFQI,Izas Sandalia Frosty,New,Amazon,3,3,999,,0,0,0,0,Low Conversion,EUR 29.99,EUR 23.24,EUR 23.24,Improve recommendations,0,29.99,0,120.620005,0,0.0
4,2020-08-11,amazon.it,IUFFO00507BL36 AMZ,X000OXS873,B00L5CNFQI,"IZAS Frosty Sandalo Sportivo, Unisex \xe2\x80\x93 Adulto, Blu, 36",New,Amazon,3,3,999,,0,0,0,0,Low Traffic,EUR 32.99,EUR 27.89,EUR 27.89,Improve recommendations,0,29.99,0,120.620005,0,0.0
5,2020-08-11,amazon.co.uk,IUFFO00507DG/RD37 AMZ,X0011DVMI7,B071998684,"IZAS Men's Frosty Outdoor Sandals, Dark Grey/Red, One Size",New,Amazon,2,2,359,,0,0,0,0,Low Traffic,GBP 23.71,GBP 23.71,GBP 23.78,Improve recommendations,0,23.71,0,51.20785693413,0,0.0
6,2020-08-11,amazon.de,IUFFO00507DG/RD37 AMZ,X0011DVMI7,B071998684,IZAS Frosty\xc2\xa0\xe2\x80\x93\xc2\xa0Sandalen wasserdicht 37 Grau dunkel/rot,New,Amazon,2,2,359,,0,0,0,0,Low Traffic,EUR 29.99,EUR 29.99,EUR 29.99,Improve recommendations,0,29.99,0,56.701683,0,0.0
7,2020-08-11,amazon.fr,IUFFO00507DG/RD37 AMZ,X0011DVMI7,B071998684,"IZAS IUFFO00507DG/RD37 Sandale de Sport Mixte Adulte, Gris Fonc\xc3\xa9/Rouge, Taille : 37",New,Amazon,2,2,359,,0,0,0,0,Low Traffic,EUR 32.99,EUR 27.67,EUR 27.67,Improve recommendations,0,29.99,0,56.701683,0,0.0
8,2020-08-11,amazon.es,IUFFO00507DG/RD37 AMZ,X0011DVMI7,B071998684,Izas Sandalia Frosty,New,Amazon,2,2,359,,0,0,0,0,Low Conversion,EUR 26.17,EUR 26.17,EUR 26.17,Improve recommendations,0,26.17,0,56.701683,0,0.0
9,2020-08-11,amazon.it,IUFFO00507DG/RD37 AMZ,X0011DVMI7,B071998684,"IZAS Frosty, Sandalo Sportivo Unisex \xe2\x80\x93 Adulto, Grigio Scuro/Rosso, 37",New,Amazon,2,2,359,,0,0,0,0,Low Traffic,EUR 32.99,EUR 27.52,EUR 27.52,Improve recommendations,0,29.99,0,56.701683,0,0.0
10,2020-08-11,amazon.co.uk,IUFFO00507DG/RD36 AMZ,X0011DVP6L,B0716PW96G,"IZAS Men's Frosty Outdoor Sandals, Dark Grey/Red, One Size",New,Amazon,2,2,221,,0,0,0,0,Low Traffic,GBP 29.89,GBP 29.49,GBP 29.98,Improve recommendations,2,27.17,0,83.10700622497,0,0.0
11,2020-08-11,amazon.de,IUFFO00507DG/RD36 AMZ,X0011DVP6L,B0716PW96G,IZAS Frosty\xc2\xa0?\xc2\xa0Sandalen wasserdicht 36 Grau dunkel / rot,New,Amazon,2,2,221,,0,0,0,0,Low Traffic,EUR 29.99,EUR 28.75,EUR 28.75,Improve recommendations,2,29.99,0,92.023127,0,0.0
12,2020-08-11,amazon.fr,IUFFO00507DG/RD36 AMZ,X0011DVP6L,B0716PW96G,"IZAS IUFFO00507DG/RD36 Sandale de Sport Mixte Adulte, Gris Fonc\xc3\xa9/Rouge, Taille : 36",New,Amazon,2,2,221,,0,0,0,0,Low Traffic,EUR 32.99,EUR 27.94,EUR 27.94,Improve recommendations,2,29.99,0,92.023127,0,0.0
13,2020-08-11,amazon.es,IUFFO00507DG/RD36 AMZ,X0011DVP6L,B0716PW96G,Izas Sandalia Frosty,New,Amazon,2,2,221,,0,0,0,0,Low Conversion,EUR 32.99,EUR 28.48,EUR 28.48,Improve recommendations,2,29.99,0,92.023127,0,0.0
