,b'seller-sku,fulfillment-channel-sku,asin,condition-type,Warehouse-Condition-code,Quantity Available
0,IMDDW00309DG/MRXXL AMZ,X000R89MH5,B071LB7DDM,NewItem,SELLABLE,0
1,IMDDW00306BK/RDS AMZ,B00R4HSDVA,B00R4HSDVA,NewItem,SELLABLE,0
2,IMDDW00309BK/BK3XL AMZ,X000R8CI21,B0719DLPT9,NewItem,SELLABLE,0
3,IMDDW01358/LM4XL,B07KS5P9G2,B07KS5P9G2,NewItem,SELLABLE,0
4,IMDDW00309BK/BKS AMZ,X000R8COF7,B071Z3RYMZ,NewItem,SELLABLE,0
5,IMFSD01409BR/OR36 AMZ,X00116FJR9,B07PVC91QT,NewItem,SELLABLE,0
6,IMDDW00306BM/ORXXL AMZ,B071L9R16M,B071L9R16M,NewItem,SELLABLE,0
7,IMDDW01358/ORXS,B07KS6KBC6,B07KS6KBC6,NewItem,SELLABLE,0
8,IMDDW00309BK/BKM AMZ,X000R8CQZF,B071NX3CMK,NewItem,SELLABLE,0
9,IMDDW00309DG/MRXL AMZ,X000R8SE3D,B071LB8PK4,NewItem,SELLABLE,0
10,IMDDW01358/LMM,B07KS5Y822,B07KS5Y822,NewItem,SELLABLE,0
11,IMDDW00309BM/ORS AMZ,X000R8I3TX,B0185I95L8,NewItem,SELLABLE,0
12,FBA11YT7Y0_unexpected_item_01,X000PRZTTX,B06XSKB14B,NewItem,SELLABLE,0
13,IMDDW00306BM/OR4XL AMZ,B071S375K5,B071S375K5,NewItem,SELLABLE,0
14,IMFSD01409BM/BV36 AMZ,X00116F0OL,B07PW97W46,NewItem,SELLABLE,0
15,IMFSD01409BR/OR41 AMZ,X00116F4OH,B07PVC7VV7,NewItem,SELLABLE,3
16,IMDDW00309BM/ORL AMZ,X000R8R0MJ,B0185I99YQ,NewItem,SELLABLE,0
17,IMDDW00309DG/MR4XL AMZ,X000R8DHMV,B0719DMR7T,NewItem,SELLABLE,0
18,IMDDW00306DG/GR4XL AMZ,B07F8P356G,B07F8P356G,NewItem,SELLABLE,0
19,IMDDW00309BM/OR3XL AMZ,X000R89D6F,B0185I9FBS,NewItem,SELLABLE,0
20,IMDDW00306DG/GRXXL AMZ,B07F8W4MKV,B07F8W4MKV,NewItem,SELLABLE,0
21,IMDDW00306DG/GR3XL AMZ,B07F8PTVPW,B07F8PTVPW,NewItem,SELLABLE,0
22,IMDDW00309BM/BMXL AMZ,X000RA6HPX,B071Z3RYN6,NewItem,SELLABLE,0
23,IMFSD01409BM/BV41 AMZ,X00116EXZD,B07PXBSSYK,NewItem,SELLABLE,3
24,IMFSD01409BR/OR38  AMZ,X00116DSSB,B07PVC8W4W,NewItem,SELLABLE,0
25,IMFSD01409BR/OR37 AMZ,X00116FJSN,B07PW9133W,NewItem,SELLABLE,0
26,IMDDW00309BM/BMM AMZ,X000RA6HPD,B071HQHZML,NewItem,SELLABLE,0
27,IMFSD01409BM/BV40 AMZ,X00116F8X9,B07PXFLJQG,NewItem,SELLABLE,0
28,IMDDW00306DG/GRL AMZ,B07F8TPZRX,B07F8TPZRX,NewItem,SELLABLE,0
29,IMDDW00309BM/ORXXL AMZ,X000R8947X,B0185I9DK6,NewItem,SELLABLE,0
30,IMDDW00309DQ/LMM AMZ,X000RA6HPN,B071HQL9DV,NewItem,SELLABLE,0
31,IMDDW00309BK/BK4XL AMZ,X000R8CROF,B071LB61LL,NewItem,SELLABLE,0
32,IMFSD01409BM/BV45 AMZ,X001107GVR,B07PYJSYK7,NewItem,SELLABLE,0
33,IMFSD01409BM/BV42 AMZ,X00116ETBV,B07NLFTWV6,NewItem,SELLABLE,0
34,IMDDW00309DQ/LMXL AMZ,X000RA6NMP,B072BR8DX5,NewItem,SELLABLE,0
35,IMDDW00306BK/RDXS AMZ,B00R4HSJUA,B00R4HSJUA,NewItem,SELLABLE,0
36,9D-JSCI-LOYJ,B01DAHP1DK,B01DAHP1DK,NewItem,SELLABLE,0
37,IMDDW00309DQ/LMS AMZ,X000RA2BRB,B071LB5XGF,NewItem,SELLABLE,0
38,IMDDW00309DG/MRL AMZ,X000R8RCD1,B071F4XC3K,NewItem,SELLABLE,0
39,IMDDW00306BK/RDM AMZ,B00R4HSA22,B00R4HSA22,NewItem,SELLABLE,0
40,IMDDW00306BK/RD3XL AMZ,B0185EJCNI,B0185EJCNI,NewItem,SELLABLE,0
41,IMFSD01409BM/BV38 AMZ,X001107FCH,B07PW96QCK,NewItem,SELLABLE,0
