,"b""Date",Marketplace,MSKU,FNSKU,Asin,Product Name,Condition,Fulfilled By,Total Quantity (Sellable),Estimated Excess,Days Of Supply,Excess Threshold,Units Sold - Last 7 Days,Units Sold - Last 30 Days,Units Sold - Last 60 Days,Units Sold - Last 90 Days,Alert,Your Price,Lowest Price (Includes Shipping),Buybox Price,Recommended action,Healthy Inventory Level,Recommended sales price,Recommended sale duration (days),Estimated total storage cost,Recommended Removal Quantity,Estimated cost savings of removal
0,2020-08-31,amazon.co.uk,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"IZAS Men's Sutton Polar Fleece Jersey, Black, Small",New,Amazon,4,4,198,,0,0,0,0,Low Conversion,GBP 14.49,GBP 14.49,GBP 16.95,Improve recommendations,0,14.49,0,65.68650050481999,0,66.78976536368246
1,2020-08-31,amazon.fr,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,Veste Polaire Sutton,New,Amazon,4,4,198,,0,0,0,0,Low Conversion,EUR 15.99,EUR 13.95,EUR 13.95,Improve recommendations,0,12.84,0,73.346026,0,74.91169088997337
2,2020-08-31,amazon.es,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"Izas - Sutton - Black - S, para Hombre",New,Amazon,4,4,198,,0,0,0,0,Low Conversion,EUR 15.99,EUR 12.84,EUR 12.84,Create sale,0,10.83,63,73.346026,0,74.91169088997337
3,2020-08-31,amazon.it,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"IZAS Sutton, Giacca di Pile Uomo, Nero, S",New,Amazon,4,4,198,,0,0,0,0,Low Traffic,EUR 15.99,EUR 15.95,EUR 15.95,Improve recommendations,0,12.84,0,73.346026,0,74.91169088997337
4,2020-08-31,amazon.co.uk,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Izas Standard Polar Lining Black / Red L,New,Amazon,4,4,173,,0,0,0,0,Low Conversion,GBP 15.39,GBP 14.94,GBP 14.94,Improve recommendations,0,15.39,0,8.14935205682,0,32.29433377054818
5,2020-08-31,amazon.fr,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Veste Polaire Padru,New,Amazon,4,4,173,,0,0,0,1,Low Traffic,EUR 16.99,EUR 16.99,EUR 16.99,Improve recommendations,0,16.99,0,9.099626,0,36.22146500655934
6,2020-08-31,amazon.es,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Izas Chaqueta de Forro Polar Padru,New,Amazon,4,4,173,,0,0,0,1,Low Conversion,EUR 16.99,EUR 16.99,EUR 16.99,Create sale,0,14.388550208564475,364,9.099626,0,36.22146500655934
7,2020-08-31,amazon.it,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,"Izas IMLPF00348 - Felpa in Pile per Uomo, Multicolore (Nero/Rosso), L",New,Amazon,4,4,173,,0,0,0,0,Low Traffic,EUR 16.99,EUR 16.99,EUR 16.99,Improve recommendations,0,16.99,0,9.099626,0,36.22146500655934
8,2020-08-31,amazon.co.uk,IWLPF00565FX/BKXXL AMZ,X0014S8F6V,B00R4LBTEE,"IZASWomen's Fleece Jacket - fuchsia / black , 2X-Large",New,Amazon,3,3,235,,0,0,0,0,Low Traffic,GBP 15.39,GBP 15.39,GBP 15.39,Improve recommendations,0,15.39,0,72.08079955478999,0,91.67466176792611
9,2020-08-31,amazon.fr,IWLPF00565FX/BKXXL AMZ,X0014S8F6V,B00R4LBTEE,Veste de Doublure Polaire Wheeler,New,Amazon,3,3,235,,0,0,0,0,Low Traffic,EUR 16.99,EUR 16.44,EUR 16.44,Improve recommendations,0,16.99,0,80.485947,0,102.82269876839555
10,2020-08-31,amazon.es,IWLPF00565FX/BKXXL AMZ,X0014S8F6V,B00R4LBTEE,Izas Chaqueta Forro Polar Wheeler,New,Amazon,3,3,235,,0,0,0,0,Low Conversion,EUR 16.99,EUR 16.99,EUR 16.99,Create sale,0,15.984646878478902,364,80.485947,0,102.82269876839555
