,"b""amazon-order-id",merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-sold-by-ab 
0,406-2030346-7545154,406-2030346-7545154,2020-09-06T08:24:05+00:00,2020-09-07T12:18:45+00:00,Shipped,Amazon,Amazon.fr,,,Expedited,Veste de Doublure Polaire Wheeler,IWLPF00565FX/BKM AMZ,B00R4LBKP2,Shipped,1,EUR,19.99,,,,,,,,Robion,,84440,FR,,false,,,,false
1,404-5176931-7245962,404-5176931-7245962,2020-09-03T06:32:28+00:00,2020-09-06T21:04:29+00:00,Pending,Amazon,Amazon.fr,,,Standard,Veste de Doublure Polaire Wheeler,IWLPF00565TQ/BKXL AMZ,B0711MPKSD,Unshipped,2,EUR,33.98,,1.43,,,,,1.43,Targon,,33760,FR,Free Shipping 2017/10/17 17-17-37-677,false,,,,false
2,171-8319094-7727540,171-8319094-7727540,2020-09-01T14:19:38+00:00,2020-09-02T05:19:35+00:00,Shipped,Amazon,Amazon.fr,,,Expedited,Veste de Doublure Polaire Wheeler,IWLPF00565BK/FX3XL AMZ,B071NWKSR3,Shipped,1,EUR,16.99,,,,,,,,Livarot Pays D Auge,Fervaques,14140,FR,,false,,,,false
3,206-6656539-9155566,206-6656539-9155566,2020-09-05T15:58:03+00:00,2020-09-06T20:35:17+00:00,Shipped,Amazon,Amazon.co.uk,,http://www.amazon.co.uk,Standard,"Izas Tena Women's Sandal (White, Numeric_37)",IWFFO01051WH37 AMZ,B0888VKTQM,Shipped,1,GBP,28.7,4.98,,,,,,,"San Fernando de Henares (Madrid),",,28830,ES,,false,,,,false
4,203-7175797-7688357,203-7175797-7688357,2020-09-05T18:24:33+00:00,2020-09-05T18:25:36+00:00,Pending,Amazon,Amazon.co.uk,,http://www.amazon.co.uk,Expedited,"Izas Tena Women's Sandal (White, Numeric_40)",IWFFO01051WH40 AMZ,B0888K3W8P,Unshipped,1,GBP,28.7,,,,,,,,London,,EC2A 2FA,GB,,false,,,,false
5,206-4672461-8230750,206-4672461-8230750,2020-09-05T15:54:43+00:00,2020-09-05T15:55:46+00:00,Pending,Amazon,Amazon.co.uk,,http://www.amazon.co.uk,Expedited,"IZAS Men Tena Outdoor Sandals - Turquoise, Large",IWFFO01051TQ39 AMZ,B06XT35WYF,Unshipped,1,GBP,29.49,,,,,,,,London,,EC2A 2FA,GB,,false,,,,false
6,203-3577049-3808305,203-3577049-3808305,2020-09-02T13:37:21+00:00,2020-09-04T20:30:46+00:00,Shipped,Amazon,Amazon.co.uk,,,Expedited,"IZAS Women's Ferni Polar Fleece Jacket, Fuxia, Medium",IWLPF00558FXM AMZ,B01DAJURCS,Shipped,1,GBP,14.49,,,,,,,,CHIPPING NORTON,Oxon,OX7 3DA,GB,,false,,,,false
7,204-2500984-9289934,,2020-09-02T20:52:21+00:00,2020-09-03T15:02:32+00:00,Shipped,Merchant,Amazon.co.uk,,,Standard,"IZAS Women Wengen Stretch Pants - Black/Purple, 3X-Large",IWPPA00579BK/PP3XL,B01DAILNEA,Shipped,1,GBP,49.82,,8.5,,,,,,Stege,Denmark,4780,DK,,false,,,,false
8,205-7472338-4663553,205-7472338-4663553,2020-08-31T23:30:48+00:00,2020-09-02T01:12:37+00:00,Shipped,Amazon,Amazon.co.uk,,http://www.amazon.co.uk,Expedited,"Izas Tena Women's Sandal (Night Blue, Numeric_41)",IWFFO01051BM41 AMZ,B0888WHBHG,Shipped,1,GBP,28.7,4.98,,,,,,,"San Fernando de Henares (Madrid),",,28830,ES,,false,,,,false
9,026-9670306-0420352,026-9670306-0420352,2020-09-01T07:50:33+00:00,2020-09-01T21:53:31+00:00,Shipped,Amazon,Amazon.co.uk,,http://www.amazon.co.uk,Expedited,"Izas Tena Women's Sandal (Night Blue, Numeric_41)",IWFFO01051BM41 AMZ,B0888WHBHG,Shipped,1,GBP,28.7,4.98,,,,,,,"San Fernando de Henares (Madrid),",,28830,ES,,false,,,,false
