,"b""Country",Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Fulfilled by,Days of Supply,Alert,Recommended replenishment qty,Recommended ship date,Inventory level threshold's published \xe2\x80\x93 Current Month,Current month - Very low inventory threshold,Current month - Minimum inventory threshold,Current month - Maximum inventory threshold,Current month - Very high inventory threshold,Inventory level threshold's published \xe2\x80\x93 Next Month,Next month - Very low inventory threshold,Next month - Minimum inventory threshold,Next month - Maximum inventory threshold,Next month - Very high inventory threshold,Utilization,Maximum shipment quantity,
0,IT,"IZAS Senner, Pantalone in Striature Uomo, Dark Grey/Nero, M",X000OYGXUB,IMPPA00872DG/BKM AMZ,B01DBXS89W,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
1,DE,IZAS Trekking Hose Senner dunkelgrau/schwarz M,X000OYGXUB,IMPPA00872DG/BKM AMZ,B01DBXS89W,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
2,FR,IZAS Senner Pantalon Montagne Homme M Gris fonc\xc3\xa9/Noir,X000OYGXUB,IMPPA00872DG/BKM AMZ,B01DBXS89W,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
3,DE,IZAS Trekking Hose Senner schwarz/Royalblau M,X000OZHZMP,IMPPA00872BK/RYM AMZ,B01DBXRLAO,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
4,FR,IZAS Senner Pantalon Montagne Homme M Noir,X000OZHZMP,IMPPA00872BK/RYM AMZ,B01DBXRLAO,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
5,IT,"IZAS Senner, Pantalone in Striature Uomo, Nero/Royal, M",X000OZHZMP,IMPPA00872BK/RYM AMZ,B01DBXRLAO,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
6,IT,"IZAS Senner, Pantalone in Striature Uomo, Dark Grey/Nero, S",X000OY1I2T,IMPPA00872DG/BKS AMZ,B01DBXS3W4,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
7,FR,IZAS Senner Pantalon Montagne Homme S Gris fonc\xc3\xa9/Noir,X000OY1I2T,IMPPA00872DG/BKS AMZ,B01DBXS3W4,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
8,DE,IZAS Trekking Hose Senner dunkelgrau/schwarz S,X000OY1I2T,IMPPA00872DG/BKS AMZ,B01DBXS3W4,New,--,,EUR,53.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
9,ES,Izas Chaqueta Softshell Mogen,X000ONQF8H,IMWSF00441BK/RDXL AMZ,B00OJ0R3YS,New,--,,EUR,52.99,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,0,,YES,,,200,,NO,,,,,0,200,
10,DE,IZAS Faserjacke Etna,X000RA05UV,IWYPD00935BK/BKM AMZ,B01M9A67BX,New,--,,EUR,59.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
11,GB,"IZAS Women's Etna Mount-loft Padded Jacket, Black, Medium",X000RA05UV,IWYPD00935BK/BKM AMZ,B01M9A67BX,New,--,,GBP,52.38,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
12,FR,Veste en Fibre Etna,X000RA05UV,IWYPD00935BK/BKM AMZ,B01M9A67BX,New,--,,EUR,59.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
13,IT,"IZAS Etna, Giacca Imbottita Resistente all'Acqua Donna, Nero/Nero, M",X000RA05UV,IWYPD00935BK/BKM AMZ,B01M9A67BX,New,--,,EUR,59.36,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
14,IT,"Izas IWWSF00605 - Giacca di montagna donna, colore Viola, taglia L",X000R4SND3,IWWSF00605PP/PPL AMZ,B0185J4KE4,New,--,,EUR,55.76,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
15,FR,Veste Softshell Tahoe,X000R4SND3,IWWSF00605PP/PPL AMZ,B0185J4KE4,New,--,,EUR,65.99,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
16,DE,IZAS Softshell-Jacke Tahoe,X000R4SND3,IWWSF00605PP/PPL AMZ,B0185J4KE4,New,--,,EUR,65.99,0.0,0,0,0,0,0,0,0,0,Amazon,0,out_of_stock,,,YES,,,200,,NO,,,,,0,200,
