name,price,asin,seller,categoria,rank,valoracion_media,busqueda,marketplace,start_date
"Treer Chaqueta de Montaña Impermeable para Deportes Hombre con Capucha, Talla Grande Cortavientos Chubasqueros Rompevientos Jecket para Running Escalada Senderismo Ciclismo Camping","36,99 € - 38,99 €",B07Z7PSZD4,,Deportes y aire libre,139987,"2,3",chaquetas de montaña,amazon.es,16 de octubre de 2019
"Helly Hansen Seven J - Chaqueta impermeable con forro de secado rápido, cortaviento y transpirable para hombre y para uso diario Hombre","60,25 € - 141,00 €",B08CNBF988,,Ropa,24029,"4,6",chaquetas de montaña,amazon.es,9 de julio de 2020
"Helly Hansen Vanir Icefall Down - Chaqueta suave y cálida de plumón de ganso europeo, prenda de invierno para hombre Hombre","127,40 € - 593,40 €",B07B4K8YR2,,Ropa,63288,"4,2",chaquetas de montaña,amazon.es,31 de agosto de 2017
Columbia Pouring Adventure Ii - Chaqueta con Capucha Hombre,"43,43 € - 90,99 €",B086TNKH3H,,Deportes y aire libre,7675,"4,4",chaquetas de montaña,amazon.es,18 de febrero de 2020
"Helly Hansen Seven J Chaqueta, Hombre","41,85 € - 197,80 €",B01N2KDY6N,,Ropa,9193,"4,6",chaquetas de montaña,amazon.es,26 de abril de 2012
Geographical Norway Tambour - Chaqueta Softshell para Hombre. Hombre,"58,91 € - 101,90 €",B07PCMG2XL,,Deportes y aire libre,2790,"4,2",chaquetas de montaña,amazon.es,26 de enero de 2016
Napapijri Rainforest Winter Jacke Chaqueta para Hombre,"89,95 € - 262,99 €",B08DDMRK1Z,,Ropa,980,"4,6",chaquetas de montaña,amazon.es,7 de septiembre de 2017
Wantdo Chaqueta de Montaña Esquí Impermeable para Hombres,"66,93 €",B01F83WND0,,Ropa,27927,"3,9",chaquetas de montaña,amazon.es,14 de mayo de 2015
SALOMON - Chaqueta Deportiva para Mujer - Chaqueta de montaña - Tejido técnico Impermeable - Rosa,"110,00 € - 120,00 €",B0868Z6SLZ,,Ropa,106472,,chaquetas de montaña,amazon.es,24 de marzo de 2020
"The North Face Resolve Parka, Hombre","68,98 €",B073ZHLQ6J,,Ropa,5936,"4,2",chaquetas de montaña,amazon.es,16 de julio de 2017
