comprador,enlace_perfil,fecha,estrellas,titulo,descripcion
LY,www.amazon.es/gp/profile/amzn1.account.AFBXUMQTTYDPRZCMKKCCWFWLOGRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,18 de noviembre de 2018,5,Para oposiciones de matemáticas y exámenes de ingeniería/ciencias," Funciona a la perfección. Es lo máximo que permiten en oposiciones de profesor de matemáticas para instituto, donde no se permiten las programables, como en la mayoría de exámenes de escuelas de ingeniería y facultades de ciencias.  La durabilidad, el precio, el funcionamiento tan conocido que es ya un standard... la hacen impecable. Si estás acostumbrado a calculadoras muy antiguas notarás que la forma de entrada de fórmulas y ecuaciones es diferente: se escriben con el mismo orden en que se escriben a mano en un papel, por eso son más fáciles de utilizar. Permiten ver y editar la operación introducida antes de darle al botón de calcular (= o exe).<br>Funciones<br>. NOVEDAD: Tecla de simplificación de fracciones<br>. NOVEDAD: Memoria PreAns<br>. NOVEDAD: Tecla de cálculo del resto de la división entera<br>. NOVEDAD: Función de tabla de valores para 1 o 2 funciones<br>. Funciones científicas: trigonométricas, hiperbólicas, exponenciales 10x, ex, de inversión x-1, de potencia y raíz x√, √, x2, xy, de logaritmos (log, ln), etc.<br>. Estadística basada en listas, con una variable, desviación estándar, con dos variables (funciones de regresión), lineal, exponencial, etc.<br>. Entradas naturales: fracciones, raíces, potencias, paréntesis, etc.<br>. Factorización en números primos. máximo común divisor y mínimo común múltiplo.<br>. Números enteros aleatorios<br>. Memorias de variables (8+1). Lista de variables.<br><br>IMPORTANTE: Los modelos superiores a este, como el FX-991 SPX II iberia y el FX-570 SPX II iberia hacen además<br>  1ºCálculo vectorial y de matrices<br>  2ºCálculo numérico de integrales<br>  3ºCálculo diferencial<br>esos 3 ""extras"" (y otras funciones) son muy significativos y sólo cuestan unos 10€ más pero hacen que esos modelos superiores a este NO sean permitidas en exámenes ni oposiciones actualmente.
"
Anony-mouse,www.amazon.es/gp/profile/amzn1.account.AHOBH2FHSV73O24RIYRQCPYO5WIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1 de abril de 2019,3,"Muy buena, pero la pantalla es mediocre"," No creo que abundar en todo lo bueno que tiene esta calculadora aporte mucho a nadie a estas alturas. La calculadora es magnífica, con multitud de funciones que cubren de sobras las necesidades de cualquiera que busque un dispositivo de este tipo que no le vaya a poner en problemas si necesita llevarlo a exámenes como las PAU o similares.<br><br>Pero algo tan importante como es la pantalla... en este modelo flojea un montón. Le falta luminosidad, cuesta mucho leer el contenido. Da igual como se le configure el contraste. Si no hay un montón de luz ambiente, leer los resultados es tarea ardua y acaba por mosquear al más paciente.<br><br>Una pena. Un detalle tan simple como ese hace que la experiencia con el dispositivo acabe siendo mala a la larga. A ver si Casio decide mejorarla aunque tengamos que pagar unos pocos euros más. Yo al menos ni me lo pensaba.
"
Nèstor Abad Viñas,www.amazon.es/gp/profile/amzn1.account.AGBENFDDUFOOUE3SP4DNS6MFGVVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,29 de diciembre de 2016,5,Perfecta para un estudiante de ESO-Bachillerato," Soy profesor de Matemáticas. La considero perfecta para estudiantes de ESO, Bachillerato y ciclos formativos, con funciones muy útiles como la división entera, el cálculo de MCM y MCD, factorización de enteros y construcción de tablas de valores.<br><br>Si además calculara aproximaciones a integrales definidas, sería también ideal para estudiantes de 2º de Bachillerato, pero entiendo que ya hay modelos superiores que lo hacen (además de cálculos con matrices y vectores).
"
Marta,www.amazon.es/gp/profile/amzn1.account.AFHUEX5J7JGOCFNO5NU2UHOZXPIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,11 de marzo de 2018,5,Muy buena," Esta calculadora me encanta, la llevo usando 2 años, la primera se me perdió y me he comprado el mismo modelo. Tiene un tipo de interfaz diferente de las calculadoras normales, pues los números aparecen como en ""escritura natural"", lo cual es tremendamente útil cuando tienes que introducir una ecuación elaborada. Antes pasaba mucho tiempo revisando que no hubiera cometido ningún error de escritura, revisando que el orden de todos los operadores fuera correcto, pero ahora de un vistazo tengo esa información. Muy, muy, muy recomendable.
"
Juanvi,www.amazon.es/gp/profile/amzn1.account.AHF6R5WU3K6PDNXGS36KNJVK3KNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,30 de junio de 2018,5,Perfecta para un examen," Esta calculadora no trae tantas funciones como otras más complejas.Es el modelo perfecto para hacer un examen porque trae de una manera visual perfecta las funciones básicas que se necesitan para realizar cualquier prueba sin que nadie te pueda recriminar ningún uso abusivo.<br>Pero si por otro lado,prefieres una calculadora para tus estudios en sí,o para el trabajo,recomiendo otra que sea más completa(tenga funciones como las integrales),porque por un poco más de dinero tienes una mejor.Pero no hay ninguna pega que ponerle a esta.
"
Juan J Vila,www.amazon.es/gp/profile/amzn1.account.AGDWYEK6BQBUJNVVSK7DUVYKLTSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,25 de marzo de 2017,4,Casio siempre tiene buen producto.," Es la calculadora recomendada por el profesorado así que por norma general en el instituto no ponen pegas , incluso sirve para selectividad.<br>En la universidad a mi hija estudiante de ingeniera le va de perlas.
"
Javier,www.amazon.es/gp/profile/amzn1.account.AERBB464DBXSCQTNZ4HQAXNI7IMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,18 de agosto de 2019,5,Económica y fiable," Las calculadoras Casio son las más vendidas y por algo será. Son económicas y ofrecen una muy buena relación precio-calidad. Esta que he comprado es el modelo más básico de las científicas, pero es de la nueva generación con una pantalla con más definición. Cumple su cometido a la perfección, no tiene todas las funciones matemáticas más avanzadas, como el modelo 991, que es solar y con todo, pero abarca perfectamente un nivel de la ESO. Para Bachillerato y Universidad yo me iría al modelo superior por si acaso se necesita resolver ecuaciones, trabajar con matrices, etc. Es fina y ligera, con su tapa. Quizá un aspecto a mejorar podría ser poner una tapa de la pila mejor diseñada, porque cuando se tiene que cambiar la pila (una del tipo AAA) obliga a retirar todos los tornillos de la tapa trasera. Afortunadamente la pila de estas calculadores duran años con un uso no muy intenso.
"
Rosmar,www.amazon.es/gp/profile/amzn1.account.AFW4M3YP4CPBSM65MEQFUL26SXYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,9 de marzo de 2020,5,Calculadora permitida en la EVAU.," A día de hoy, esta  es una de las mejores calculadoras que se permiten en la EVAU, es decir, que tiene todas las funciones básicas (potenciales, radicales, exponenciales, logarítmicas, cálculo con fracciones...) y calcula en el orden natural de operaciones (no como las calculadoras antiguas donde había que meter muchas operaciones al revés de como se escribían) pero sin ser programable, ni gráfica, ni tener capacidad de resolver ecuaciones, calcular matrices, determinantes, derivadas ni integrales, ni almacenar datos alfanuméricos ni tener la opción de transmitir datos, todo lo que no se permite en las calculadoras que se utilizan durante las pruebas de EVAU.<br><br>Si durante el transcurso de las pruebas de EVAU se constata el uso de una calculadora no permitida, el tribunal adoptará las mismas medidas que cuando un alumno está copiando, así que es importante mirar antes del examen si la calculadora está entre la lista de calculadoras permitidas que se puede encontrar en las páginas web de las universidades.<br><br>En mi opinión, la Casio FX 82 SP X II Iberia es la mejor calculadora que existe para los cursos de ESO y Bachillerato en este momento, tal vez sólo superada por la Casio FX 85 SP X II Iberia, que es idéntica pero con placa de carga solar además de pila.
"
David,www.amazon.es/gp/profile/amzn1.account.AGMZ4XZ4Q6YO5FF6ESNRUXQSLFVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,24 de enero de 2020,5,Funciones muy útiles que las Casio más tradicionales no tienen," Me la pille para los exámenes de la universidad y perfecta. No es programable (los profesores siempre nos piden que las calculadoras sean NO PROGRAMABLES). Como diferencia con las calculadoras mas clásicas de Casio, diré que el panel está divido en dos partes:<br>  . - Una parte superior donde poner las operaciones. Con los cursores de izquierda-derecha que lleva te permite moverte por la operación para poder repasar y corregir de manera muy sencilla. Con los cursores de arriba-abajo te puedes mover por el historial de las operaciones que has hecho, algo también muy útil.<br>  . - Una parte inferior donde aparece el resultado. No hay más misterio<br><br>En cuanto a durabilidad, desconozco lo que me puede durar pero confío que al igual que la anterior Casio que tenía en el instituto, que ha pasado por varias manos y todavía funciona, dure también.
"
Miguel,www.amazon.es/gp/profile/amzn1.account.AF7ZHESTTDCJPYDQV3ZVKEFBLEOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,23 de julio de 2020,5,Genial. muy buena calculadora," Si eres de la EGB, te va a sorprender, no tiene nada que ver con las calculadoras antiguas.<br><br>En esta calculadora, cuando pones una operación, te la muestra tal cual, 2+3/5, te aparece en forma de fracción en la pantalla, dibujado, por lo que cualquier operación complicada es mucho más fácil de introducir.<br><br>Facilita muchísimo en el cole al ver la formula completa y si has cometido un fallo.<br><br>hay videos en youtube de como se ve, pon uno y no querrás otro modelo de calculadora.
"
